Título,Coordenador,Campus,Período de Execução
Conscientização e Educação da Vila Sebastião Lima quanto ao uso de recursos hídricos disponível para abastecimento local,Ronaldo Mauricio Sampaio,JANUÁRIA,De 01/05/2019 a 30/11/2019
Metodologias ativas: Promover a capacitação dos professores das Escolas Estaduais de Minas Gerais no Município de Januária para o uso efetivo de tecnologias da informação e comunicação em sala de aula.,Gustavo Linhares Lelis Frota,JANUÁRIA,De 01/05/2019 a 01/10/2019
"Minicurso: Qgis e Vesper, Softwares Livres com Aplicações em Agricultura de Precisão",Antonio Fabio Silva Santos,JANUÁRIA,De 02/05/2019 a 30/11/2019
Ocupando o espaço: o corpo e a palavra em cena,Elisa Martins Belem Vieira,JANUÁRIA,De 02/05/2019 a 30/11/2019
PRÁTICAS DE MANEJO E CONSERVAÇÃO DO SOLO COMO VETOR DO FORTALECIMENTO DA AGRICULTURA FAMILIAR NA COMUNIDADE DE BONANÇA/MG,Tattiane Gomes Costa,JANUÁRIA,De 02/05/2019 a 30/11/2019
IF-EDU: ENSINO DE LÍNGUAS ESTRANGEIRAS NO YOUTUBE,Welington dos Santos Silva,JANUÁRIA,De 02/05/2019 a 31/10/2019
PROJETO PRÉ ENEM COMUNITÁRIO,Claudio Wilson dos Santos Pereira,JANUÁRIA,De 01/07/2019 a 08/11/2019
Técnicas de comunicação e metodologias de interação comportamental aplicadas ao processo de recrutamento e seleção,Edson Oliveira Neves,JANUÁRIA,De 15/05/2019 a 21/08/2019
Tecnologia no terceiro setor: estudo de caso de marketing digital na Associação Comunitária O Pequeno Davi,Cleiane Goncalves Oliveira,JANUÁRIA,De 22/04/2019 a 16/09/2019
Educação em saúde sobre a importância do exame Papanicolau,Daniela Souza Santos de Sa,JANUÁRIA,De 12/08/2019 a 12/12/2019
AÇÕES DE EXTENSÃO EM ENFERMAGEM,Daniela Souza Santos de Sa,JANUÁRIA,De 08/03/2019 a 01/12/2019
Videoaulas de Matemática,Gustavo Pereira Gomes,JANUÁRIA,De 06/08/2019 a 19/12/2019
Acompanhamento de Egressos,Anamaria Azevedo Lafeta Rabelo,JANAÚBA,De 01/04/2019 a 29/11/2019
Clube do Empreendedor,Cleber Roberto Souza,JANAÚBA,De 03/06/2019 a 29/11/2019
Grupo de Soluções Tecnológicas GST,Renata Cristina Nogueira Santos,JANAÚBA,De 01/04/2019 a 30/09/2019
PROJETO INSTITUCIONAL DE SUSTENTABILIDADE AMBIENTAL ? REVITALIZAÇÃO DA PRAÇA DA RODOVIÁRIA DO MUNICÍPIO DE JANAÚBA/MG,Fabricio Silva Ribeiro,JANAÚBA,De 01/06/2019 a 30/11/2019
IFNMG JANAÚBA ONLINE,Romulo Silveira Ramos,JANAÚBA,De 02/05/2019 a 31/10/2019
Plano de Comunicação do Espaço Cultural de Janaúba,Renata Cristina Nogueira Santos,JANAÚBA,De 01/08/2019 a 20/12/2019
SUSTENTABILIDADE AMBIENTAL: CONSTRUINDO PRÁTICAS A PARTIR DO COMPROMISSO SOCIAL E AMBIENTAL NO IFNMG - CAMPUS MONTES CLAROS.,Pedro Henrique de Oliveira Gomes,M. CLAROS,De 01/05/2019 a 31/10/2019
ACOMPANHAMENTO DE EGRESSOS E PRÉ-EGRESSOS: CONSTRUINDO PERFIS E DEMANDAS,Pedro Henrique de Oliveira Gomes,M. CLAROS,De 01/05/2019 a 31/10/2019
Grupo de Soluções Tecnológicas GST,Wagner Leite Araujo,M. CLAROS,De 01/06/2019 a 29/11/2019
Educação Ambiental de crianças e adolescentes da rede pública de ensino de Montes Claros - MG,Thalles de Assis Cardoso Goncalves,M. CLAROS,De 01/10/2019 a 20/12/2019
"III FESTIVAL INTERCAMPI DE CULTURAS: ENCANTOS DOS VALES, MONTES E SERTÕES DO IFNMG.",Barbara Caroline de Oliveira,M. CLAROS,De 01/04/2019 a 15/12/2019
Programação e robótica para crianças e adolescentes,Neila Marcelle Gualberto Leite,M. CLAROS,De 01/05/2019 a 31/10/2019
"Produtos de Limpeza Artesanais: ""Empreendendo no Lar""",Thalles de Assis Cardoso Goncalves,M. CLAROS,De 01/10/2019 a 20/12/2019
Agricultura familiar no espaço urbano envolvendo a agroecologia através de materiais reutilizáveis,Luiz Gomes Junior,M. CLAROS,De 01/10/2019 a 31/12/2019
Agentes Ambientais ? um reolhar aos Catadores de Materiais Recicláveis,Pedro Henrique de Oliveira Gomes,M. CLAROS,De 01/05/2019 a 31/10/2019
Introdução à Astronomia e ao Universo,Julio Cesar Guedes Antunes,M. CLAROS,De 03/05/2019 a 30/10/2019
PRODUÇÃO DE CERVEJA ARTESANAL COM UTENSÍLIOS DOMÉSTICOS,Tatiane Reis do Amaral,M. CLAROS,De 02/05/2019 a 31/10/2019
Tecnologia da Engenharia para Qualificação da Sociedade,Cabriella Novello de Andrade,M. CLAROS,De 02/05/2019 a 31/10/2019
Aulas de Karatê-Do Shotokan,Pedro Henrique de Oliveira Gomes,M. CLAROS,De 05/03/2019 a 19/12/2019
IFCONTAÇÕES: DO IMAGINÁRIO PARA A VIDA,Valesca Rodrigues de Souza,M. CLAROS,De 01/09/2019 a 31/12/2019
Pré Técnico 2019,Rafael Porto Viana,M. CLAROS,De 01/08/2019 a 28/02/2020
Clube da Robótica,Rafael Porto Viana,M. CLAROS,De 01/09/2019 a 18/12/2020
Inclusão Digital de Mulheres no IFNMG ? Campus Montes Claros,Luciana Balieiro Cosme,M. CLAROS,De 02/09/2019 a 31/12/2019
Articulando teoria e prática no ensino de ciências,Gleysson de Paula Terra,PIRAPORA,De 02/05/2019 a 13/12/2019
PROJETO INSTITUCIONAL DE SUSTENTABILIDADE AMBIENTAL ? EIXO RESÍDUOS SÓLIDOS,Ana Paula Silva Nascentes Nunes,PIRAPORA,De 06/05/2019 a 31/10/2019
Redação nota Mil: Preparação para o Enem-2019,Talita Aparecida da Guarda Alves,PIRAPORA,De 01/05/2019 a 01/11/2019
Sustentabilidade Ambiental no âmbito do Centro de Referência de Corinto - Eixo Resíduos Sólidos.,Willy de Oliveira,PIRAPORA,De 03/06/2019 a 29/11/2019
"Capacitação de trabalhadores da construção civil, oleiros e comunidade interessada para a fabricação de tijolos ecológicos",Anderson Ricardo dos Anjos,PIRAPORA,De 02/05/2019 a 20/12/2019
Reforço de Língua Portuguesa para alunos do Ensino Fundamental participantes do Programa Forças no Esporte (PROFESP- Marinha do Brasil),Talita Aparecida da Guarda Alves,PIRAPORA,De 01/05/2019 a 15/12/2019
CURSO DE GESTÃO DE EMPRESAS COM USO AVANÇADO DE PLANILHAS,Silvio Rodrigo Silva Cesar,PIRAPORA,De 01/05/2019 a 31/10/2019
Inclusão Digital Infantil: Usando a Tecnologia para a Formação do Pequeno Cidadão,Flavio Augusto Maia Santiago,PIRAPORA,De 02/05/2019 a 18/12/2019
Adolescentes e Idosos: encontro de gerações por meio de atividades artísticas,Maria do Socorro Vieira Barreto,PIRAPORA,De 02/05/2019 a 12/12/2019
CURSO DE DESENVOLVIMENTO DE APLICATIVOS MÓVEIS PARA INICIANTES,Silvio Rodrigo Silva Cesar,PIRAPORA,De 01/05/2019 a 31/10/2019
Apresentando o IFNMG campus Pirapora,Josue Batista Antunes,PIRAPORA,De 02/05/2019 a 31/10/2019
Estudo para projetos de requalificação arquitetônica e de infraestrutura de projetos complementares para as instalações da Sede da Associação de Catadores e Recicladores de Pirapora,Anderson Ricardo dos Anjos,PIRAPORA,De 02/05/2019 a 20/12/2019
Programa Forças no Esporte (PROFESP) - Reforço de Matemática para o Ensino Fundamental,Julio Cesar Pereira Braga,PIRAPORA,De 02/05/2019 a 31/10/2019
REVISANDO CONCEITOS DE MATEMÁTICA DO ENSINO MÉDIO,Maria Neuza Almeida Queiroz,PIRAPORA,De 02/05/2019 a 31/10/2019
REVISANDO CONCEITOS DE FÍSICA DO ENSINO MÉDIO,Maria Neuza Almeida Queiroz,PIRAPORA,De 02/05/2019 a 31/10/2019
REVISANDO CONCEITOS DE QUÍMICA DO ENSINO MÉDIO,Livia Clara Tavares Lacerda,PIRAPORA,De 02/05/2019 a 31/10/2019
Incluir,Alessandro Carneiro Ribeiro,PIRAPORA,De 02/05/2019 a 29/11/2019
CONSULTORIA EMPRESARIAL: APLICAÇÃO NAS MICROEMPRESAS DE PIRAPORA/MG,Daniel Rocha Silva,PIRAPORA,De 13/08/2019 a 16/12/2019
Sorrir e Brincar é Só Começar,Rosemary Barbosa da Silva Moura,PIRAPORA,De 12/08/2019 a 25/10/2019
4º Ciclo de Palestras: O empreendedorismo de micro e pequenas empresas de Pirapora,Rosemary Barbosa da Silva Moura,PIRAPORA,De 23/05/2019 a 30/09/2019
"Café, Saúde e Segurança",Luciano Soares Diniz,PIRAPORA,De 12/09/2018 a 23/11/2018
?Educação em saúde: Prevenindo as Doenças Parasitárias.?.,Arielle de Matos Souza,PIRAPORA,De 18/03/2019 a 06/06/2019
Capoeira: inclusão pela Arte,Maria Fernanda Freitas Braga,PIRAPORA,De 02/05/2019 a 03/12/2019
?Capacitação dos Agentes Comunitários de Saúde: capacitando pessoas para cuidar de pessoas?.,Arielle de Matos Souza,PIRAPORA,De 01/04/2019 a 21/06/2019
Produção e inserção de mobiliário de paletes por acadêmicos do IFNMG para o Lar de idosos São Vicente de Paulo no município de Pirapora/MG.,Jonathan Rodrigues Azevedo,PIRAPORA,De 01/04/2019 a 30/11/2019
Sustentabilidade Ambiental - Eixo Resíduos Sólidos.,Graziela Ferreira da Silva,PORTEIRINHA,De 03/06/2019 a 20/12/2019
"Festival Intercampi de Culturas: Encantos dos Vales, Montes e Sertões do IFNMG",Rozaine Rosa Carvalho,PORTEIRINHA,De 03/06/2019 a 20/12/2019
Ouvindo os egressos e empregadores,Alysson Frederico Goncalves Santos,PORTEIRINHA,De 03/06/2019 a 31/10/2019
Oficinas de práticas esportivas e de lazer,Wilney Fernando Silva,PORTEIRINHA,De 03/06/2019 a 20/12/2019
Portfólio de Oportunidades,Alano Pereira David,PORTEIRINHA,De 01/04/2019 a 20/12/2019
Grupo de Soluções Tecnológicas,Alano Pereira David,PORTEIRINHA,De 03/06/2019 a 30/11/2019
Clube do Empreendedor,Thiago Nogueira Tolentino Barbosa,PORTEIRINHA,De 03/06/2019 a 20/12/2019
INCLUSÃO DIGITAL - INFORMÁTICA PARA A MELHOR IDADE,Fernanda Pereira Santana,PORTEIRINHA,De 02/05/2019 a 20/12/2019
"Esporte Escolar no IFNMG - Campus Avançado Porteirinha: inclusão social, saúde e educação",Wilney Fernando Silva,PORTEIRINHA,De 02/05/2019 a 20/12/2019
INFORMÁTICA BÁSICA PARA ALUNOS DO ENSINO FUNDAMENTAL DA ESCOLA ESTADUAL NECO LOPES,Fernanda Pereira Santana,PORTEIRINHA,De 02/05/2019 a 20/12/2019
Robótica Educacional,Livia de Fatima Silva Mendes,PORTEIRINHA,De 02/05/2019 a 31/10/2019
Curso de programação de aplicativos móveis baseado em aprendizagem orientada a projeto,Joyce Meire da Silva Franca,PORTEIRINHA,De 01/05/2019 a 20/12/2019
A IMPRESSORA 3D COMO UMA PODEROSA FERRAMENTA NA PRODUÇÃO DE TECNOLOGIA ASSISTIVA,Caio Venancio Duarte Carvalho,PORTEIRINHA,De 09/10/2019 a 20/12/2019
MÚSICA: UM INSTRUMENTO DE ENSINO E INTEGRAÇÃO ESTUDANTIL,Caio Venancio Duarte Carvalho,PORTEIRINHA,De 09/10/2019 a 20/12/2019
O IFNMG ? Campus Salinas vai a campo: PIQ´s de polpas de frutas congeladas comercializadas no território da cidadania do Alto Rio Pardo de Minas Gerais,Alexandre Santos de Souza,SALINAS,De 02/05/2019 a 20/12/2019
"Pragas Urbanas: ""Bichos SA""",Valeria Magro Octaviano Bernis,SALINAS,De 01/05/2019 a 23/12/2019
EDUCAÇÃO HUMANITÁRIA: A LUDICIDADE NA TRANSMISSÃO DE CONCEITOS SOBRE CUIDADOS COM ANIMAIS E PROMOÇÃO DA SAÚDE PÚBLICA,Vanessa Paulino da Cruz Vieira,SALINAS,De 01/05/2019 a 18/12/2019
"VETSAL RURAL- Clínica, Cirurgia e Reprodução de Grandes Animais",Walter Octaviano Bernis Filho,SALINAS,De 02/05/2019 a 31/10/2019
Portfólio de Oportunidades,Felipe Cimino Duarte,SALINAS,De 15/04/2019 a 15/10/2019
Projeto de Intervenção pedagógica ( Curso preparatório para o ENEM de Física ),Geraldo Magela Cardoso,SALINAS,De 03/05/2019 a 31/10/2019
PROPOSTA DE GESTÃO DE ACOMPANHAMENTO DOS PRÉ-EGRESSOS E EGRESSOS NO IFNMG-CAMPUS SALINAS ? PARTE 2,Romildo Lopes de Oliveira,SALINAS,De 02/05/2019 a 23/12/2019
Sustentabilidade Ambiental,Jane Bruna de Almeida,SALINAS,De 01/06/2019 a 20/12/2019
CONVIVÊNCIA COM A SECA: experiência de comunidades rurais nas regiões do Vale do Jequitinhonha e Norte de Minas Gerais,Ronaldo Medeiros dos Santos,SALINAS,De 02/05/2019 a 31/10/2019
Avaliação das boas práticas de fabricação em agroindústrias de doce de marmelo e capacitação dos produtores para adequação às normas,Andreia de Paula Viana,SALINAS,De 02/05/2019 a 30/10/2019
"III Festival Intercampi de Culturas: Encantos dos Vales, Montes e Sertões do IFNMG",Fabiene Brito Mendes Teles,SALINAS,De 03/06/2019 a 23/12/2019
Acompanhamento de Egressos,Vanessa Paulino da Cruz Vieira,SALINAS,De 01/06/2019 a 30/11/2019
Aplicação de conceitos físicos de maneira interdisciplinar ?robótica educacional?.,Maria da Penha de Laia,SALINAS,De 02/05/2019 a 31/10/2019
Verificação das condições higiênico-sanitárias do requeijão do norte produzido na microrregião de Salinas - Minas Gerais,Felipe Cimino Duarte,SALINAS,De 02/05/2019 a 31/10/2019
Análises microbiológicas de Alimentos servidos frescos em restaurante na cidade de Salinas-MG.,Edilene Alves Barbosa,SALINAS,De 02/05/2019 a 31/10/2019
IDENTIFICAÇÃO DO ESTÁGIO DE DETERIORAÇÃO DE DOCES DE LEITE ARTESANAIS VISANDO À VALORIZAÇÃO DO PRODUTO.,Roberta Magalhaes Dias Cardozo,SALINAS,De 02/05/2019 a 31/10/2019
Castração e Controle Populacional de Cães e Gatos no município de Salinas-MG,Walter Octaviano Bernis Filho,SALINAS,De 02/05/2019 a 31/10/2019
Construção e aplicação de aparatos experimentais de Física como recurso pedagógico no ensino médio da Escola Estadual Doutor Osvaldo Prediliano Sant´Anna em Salinas-MG,Vailton Afonso da Silva,SALINAS,De 20/05/2019 a 20/11/2019
Educação para a saúde sexual e reprodutiva,Sileimar Maria Lelis,SALINAS,De 02/05/2019 a 20/12/2019
"Avaliação das características físicas e químicas da polpa do fruto de coquinho azedo (ButiaCapitata) produzida no município de Taiobeiras/MG, e elaboração de uma geleia com diferentes concentrações de sólidos solúveis",Valdirene Rodrigues Santana,SALINAS,De 02/05/2019 a 22/12/2019
Intercâmbio de boas práticas agroflorestais no âmbito da agricultura familiar na região do Alto Rio Pardo/MG,Vinicius Orlandi Barbosa Lima,SALINAS,De 02/05/2019 a 23/12/2019
AVALIAÇÃO DE HIDROGEL ELABORADO A PARTIR DA PECTINA DO MESOCARPO EXTERNO DO PEQUI (Caryocar brasiliense Camb.) APLICADO NO SOLO COMO ALTERNATIVA NO AUMENTO DA CAPACIDADE DE ARMAZENAMENTO DE ÁGUA EM PLANTAÇÕES.,Isis Celena Amaral,SALINAS,De 02/05/2019 a 31/10/2019
BUSCA DE NOVAS MELHORIAS NA PRODUÇÃO DA CACHAÇA DOS PEQUENOS PRODUTORES DA REGIÃO DE SALINAS ? MG.,Geraldo Magela Matos,SALINAS,De 02/05/2019 a 02/11/2019
MEDICINA VETERINÁRIA NO QUILOMBO: UMA AÇÃO DO NEABI NA SAÚDE ÚNICA.,Thais Larissa Lourenco Castanheira,SALINAS,De 02/05/2019 a 31/10/2019
VERIFICAÇÃO DAS BOAS PRÁTICAS DE FABRICAÇÃO E DA QUALIDADE MICROBIOLÓGICA DO DOCE DE LEITE PRODUZIDO EM SALINAS - MG,Roberta Magalhaes Dias Cardozo,SALINAS,De 02/05/2019 a 31/10/2019
EXTENSÃO RURAL: O PAPEL DO MÉDICO VETERINÁRIO NA ORIENTAÇÃO DO PLANEJAMENTO DAS INSTALAÇÕES RURAIS EM PEQUENAS PROPRIEDADES RURAIS NO MUNICÍPIO DE SALINAS?MG,Fernando Matos Pereira,SALINAS,De 02/05/2019 a 23/12/2019
Espaço do Basquete,Arthur Faria Porto,SALINAS,De 01/01/2019 a 31/12/2019
Cultura alimentar e sustentabilidade na produção de alimentos saudáveis: resgate de práticas culinárias e fomento da segurança alimentar em comunidades quilombolas na mesorregião do Vale do Jequitinhonha.,Ricardo dos Santos Silva,SALINAS,De 02/05/2019 a 20/12/2019
"AVALIAÇÃO MICROBIOLÓGICA DAS CONDIÇÕES DE HIGIENE E SANITIZAÇÃO DOS TALHERES, PRATOS E BANDEJAS UTILIZADOS NO REFEITÓRIO DO INSTITUTO FEDERAL DO NORTE DE MINAS-CAMPUS SALINAS",Edilene Alves Barbosa,SALINAS,De 27/07/2019 a 13/12/2019
Capacitação da população carcerária atendida pela Associação de Proteção e Assistência aos Condenados (APAC) Salinas - MG para a produção de produtos de panificação,Bruna Castro Porto,SALINAS,De 09/09/2019 a 11/10/2019
Gerenciamento de Resíduos Sólidos no Campus Teófilo Otoni,Ivan Carlos Carreiro Almeida,TEÓFILO OTONI,De 01/04/2019 a 10/10/2019
?Árvore Delivery: Fomento da Arborização e Mapeamento das Àrvores Urbanas De Teófilo Otoni - MG,Ivan Carlos Carreiro Almeida,TEÓFILO OTONI,De 02/05/2019 a 31/10/2019
Mucuri Cultura e Arte,Leandro de Paula Liberato,TEÓFILO OTONI,De 01/04/2019 a 30/09/2019
Introdução à Programação de Computadores para alunos do ensino fundamental e médio por meio da ferramenta Scratch 3,Yuri Bento Marques,TEÓFILO OTONI,De 02/05/2019 a 31/12/2019
AMIZADE SEM IDADE,Luara Cristiane Dourado Neves,TEÓFILO OTONI,De 30/03/2019 a 23/12/2019
Projeto: Ouvindo os egressos e empregadores,Tarrara Alves Horsth,TEÓFILO OTONI,De 03/06/2019 a 23/12/2019
Portfólio de oportunidades,Ana Claudia Goncalves de Sa Jardim,TEÓFILO OTONI,De 01/04/2019 a 10/10/2019
Inclusão digital - A busca pelo conhecimento não tem idade,Gerfson Viana Santos,TEÓFILO OTONI,De 01/06/2019 a 23/12/2019
IFNMG Cultura e Arte,Leandro de Paula Liberato,TEÓFILO OTONI,De 02/05/2019 a 23/12/2019
"Identificação e divulgação dos agentes, eventos, projetos e espaços culturais na cidade de Teófilo Otoni/MG",Yuri Bento Marques,TEÓFILO OTONI,De 02/05/2019 a 31/10/2019
Xadrez nas escolas - Desenvolvendo Habilidades do Ensino pela prática do Xadrez,Heverton Schimidt Souza,TEÓFILO OTONI,De 02/05/2019 a 31/10/2019
RUMO AO PÓDIO - Um curso intensivo de Matemática Olímpica,Carlos Alberto Lopes dos Santos de Oliveira,TEÓFILO OTONI,De 01/05/2019 a 20/12/2019
Projeto Hâpó,Edimar da Rocha Pinto,TEÓFILO OTONI,De 04/11/2019 a 20/12/2019
"Pré-IFNMG: Meritocracia, Igualdade de Oportunidades e Equidade",Carlos Alberto Lopes dos Santos de Oliveira,TEÓFILO OTONI,De 25/06/2019 a 20/12/2019
Orientação Profissional: Um Olhar para o Futuro,Paula Pontes do Espirito Santo,TEÓFILO OTONI,De 30/04/2019 a 10/09/2019
